Character_id,Elapsed_time,Cause
17,19.8407,0
16,21.1972,0
14,23.5464,0
18,23.582,0
15,24.5848,0
37,25.9585,0
5,26.6276,0
21,26.6519,0
20,27.2009,0
13,27.3168,0
6,27.3237,0
7,27.7334,0
19,27.9984,0
23,28.3143,0
36,29.2155,0
10,29.6657,0
35,30.2417,0
12,30.6637,0
8,31.1254,0
4,31.344,0
22,31.5113,0
26,31.937,0
34,33.4183,0
27,33.6423,0
30,33.8145,0
11,34.3891,0
33,35.0377,0
24,35.7621,0
25,36.362,0
41,36.371,0
40,36.3877,0
9,36.464,0
46,36.5131,0
72,36.8537,0
31,37.2014,0
43,37.5098,0
58,37.667,0
71,37.8872,0
38,37.9631,0
56,38.7308,0
55,39.4,0
54,39.4984,0
74,39.7477,0
76,42.0804,0
32,42.1108,0
75,43.0321,0
39,43.3179,0
28,43.4584,0
77,43.724,0
50,43.9252,0
78,44.3737,0
93,44.4761,0
70,44.8227,0
29,44.9589,0
47,45.0087,0
94,45.1666,0
89,46.3608,0
91,46.4665,0
95,47.7242,0
53,48.9365,0
92,49.058,0
97,49.4457,0
111,49.5672,0
112,49.9082,0
60,50.1145,0
61,50.3225,0
42,50.4455,0
98,51.3035,0
73,51.3521,0
68,51.4685,0
66,52.7635,0
113,52.7635,0
52,53.799,0
125,53.9301,0
124,54.9031,0
128,54.9666,0
57,55.0138,0
45,55.0809,0
126,55.1182,0
131,56.5586,0
109,56.5975,0
90,57.0202,0
144,57.1991,0
132,57.3319,0
48,57.4288,0
80,58.0712,0
96,59.0123,0
127,59.3331,0
147,59.3331,0
150,59.435,0
64,59.4662,0
79,60.5028,0
130,61.2683,0
145,61.4346,0
153,61.6244,0
88,61.6958,0
129,62.2944,0
167,62.433,0
149,63.3217,0
51,63.6479,0
151,64.1856,0
148,64.2438,0
82,64.8029,0
152,65.0233,0
168,65.2738,0
114,65.6371,0
146,65.6997,0
44,65.9772,0
106,66.0046,0
165,67.1079,0
180,67.8345,0
166,68.5939,0
119,68.7367,0
105,69.2463,0
181,69.3667,0
187,70.1806,0
59,70.2825,0
110,71.1442,0
62,71.2856,0
164,71.6958,0
182,72.2824,0
179,72.343,0
116,72.3515,0
139,72.6475,0
49,72.9324,0
190,73.1079,0
108,73.1996,0
185,73.5488,0
188,73.8783,0
186,74.0988,0
183,75.0499,0
142,75.274,0
133,75.2825,0
100,75.2991,0
136,75.4477,0
193,75.8324,0
192,75.9535,0
63,76.9406,0
197,77.1823,0
201,77.3747,0
191,78.4724,0
196,78.607,0
162,79.3994,0
85,79.5457,0
203,79.5935,0
120,79.7885,0
194,80.5671,0
87,80.9967,0
184,81.0611,0
189,81.237,0
171,81.861,0
200,82.8981,0
174,83.0215,0
198,83.9981,0
159,84.5509,0
122,84.7802,0
199,85.9118,0
69,85.9337,0
169,86.1827,0
172,86.3109,0
195,86.7125,0
202,87.2367,0
177,87.7896,0
156,88.7573,0
137,89.3669,0
141,89.8907,0
102,90.0749,0
143,90.4028,0
99,91.1085,0
81,91.5206,0
140,91.9171,0
117,92.621,0
157,92.6835,0
175,93.0675,0
170,93.68,0
65,93.717,0
67,94.3816,0
138,94.6053,0
178,94.6282,0
135,94.9135,0
158,95.1424,0
176,95.4641,0
84,96.0828,0
86,96.4513,0
134,96.5201,0
103,96.58,0
107,97.3787,0
160,97.478,0
118,97.932,0
115,98.1979,0
173,98.371,0
161,98.9606,0
123,99.1517,0
83,99.282,0
154,99.513,0
121,100.163,0
104,100.827,0
155,102.097,0
163,102.843,0
101,103.259,0
